track_id,track_name,album_id,album_name,album_release_date,artist_ids,artist_names,duration_ms,popularity,explicit,primary_artist_id,artist_artist_id,artist_artist_name,artist_genres,artist_followers,artist_popularity_artist,playcount,preferred
79mFFAOYcG8ZF6AN1JecAL,FINE SHIT,0fSfkmx0tdPqFYkJuNX74a,MUSIC,2025-03-14,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,106753,66,True,699OTQXzgjhIYAHMy9RyPD,,,,,,0.0,0
6MmtDonkpvSoRx9ACwrGDu,Brotha Man (feat. French Montana),3MATDdrpHmQCmuOcozZjDa,TESTING,2018-05-25,"13ubrt8QOOCPljQ2FL1Kca,6vXTefBL93Dj5IqAWq6OTv","A$AP Rocky,French Montana",216080,46,True,13ubrt8QOOCPljQ2FL1Kca,,,,,,0.0,0
5rmZvDdnuxDUq2OPoDN2sA,Assaltos e Batidas,5ZCEu4tVlxt0PR0J4NJ0Ex,ASSALTOS E BATIDAS,2025-06-06,"29QKtXMaVczUBDiI3aPBWS,1NkYIE4k7do1uPr2zbojgE,7Gojo8tyzLgT5p5WdTisIL","FBC,Pepito,DJ Cost",140612,45,True,29QKtXMaVczUBDiI3aPBWS,,,,,,0.0,0
2D2w9943rsnJOGCrI4aMQp,My Choppa Hate Niggas,0MV1yCXcNNQBfwApqAVkH0,Without Warning,2017-10-30,"1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp","21 Savage,Metro Boomin",148640,65,True,1URnnhqYAYcrqrcwql10ft,,,,,,0.0,0
4CYTQpr2jc4uBScYvpEK2w,Beno!,2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,2020-12-25,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,153333,59,True,699OTQXzgjhIYAHMy9RyPD,,,,,,0.0,0
1QPreu0BNOrUfEb8HTd2qG,Rich Spirit,79ONNoS4M9tfIA1mYLBYVX,Mr. Morale & The Big Steppers,2022-05-13,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,202285,71,True,2YZyLoL8N0Wb9xBt1NhZWg,,,,,,0.0,0
56zevNb53xLMwZGRWfGfSi,Checkmate (Smooth),2hHTG0xjC0wzHO8CJozddr,KIARI,2025-08-22,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,192184,67,True,4DdkRBBYG6Yk9Ka8tdJ9BW,,,,,,0.0,0
4ThCFbTzk1ghQ3zcUUswtE,My Humps - Single Version,5gYvt08iJYSGmRnBRpXvUZ,My Humps,2005-01-01,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,250986,54,False,1yxSLGMDHlW21z4YXirZDS,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,,9556340.0,81.0,0.0,0
5Omr6mhF7LamUq4PNALXu1,CHURRASCO,0LXnhPYep0AOA1c7BFg7Vm,HIGHBOYZ,2024-12-20,"2Ip2jiEjsSe8pmRBzwTv5N,26aPjwxSSJsGy6yQ19YL55","Febem,Sain",116813,38,True,2Ip2jiEjsSe8pmRBzwTv5N,,,,,,0.0,0
06ZX08uRQDK02emdw9mN28,Ensalada (feat. Anderson .Paak),5WrpCQmbTUZuzNxGCPUFSV,Alfredo 2,2025-07-25,"0Y4inQK6OespitzD6ijMwb,0eVyjRhzZKke2KFYTcDkeu,3jK9MiCrA42lLAdMGUZpwa","Freddie Gibbs,The Alchemist,Anderson .Paak",226546,69,True,0Y4inQK6OespitzD6ijMwb,,,,,,0.0,0
2RSHsoi04658QL5xgQVov3,Bad Liar,3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),2018-11-09,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,260773,81,False,53XhwfbYqKCa1cC15pYq2q,,,,,,1.0,0
6XskAqvDLILS4lHYufqK2D,Mônaco Freestyle,21FP96bn6KdYTSe5zCbhZT,Eu Venci o Mundo,2025-06-26,"4YqwRbMLqGHRHLS1w2ZKse,3prRKGJz16RRMRSIM97nHw","Veigh,Supernova Ent",112000,69,True,4YqwRbMLqGHRHLS1w2ZKse,,,,,,0.0,0
3hytYbdEQ7rDrhJEI529Pn,Sementinha do Mal,6APEhDxAI5GmMfVXgywtYy,Sementinha do Mal,2022-06-24,"3Igua105OJq78XPcPKPGku,4V6S8Exb51yXRs6oiJYIgE,1iVZ4G8loVE1bb5EWuOvMM","Febre90s,SonoTWS,pumapjl",200000,63,True,3Igua105OJq78XPcPKPGku,,,,,,0.0,0
5j3WD7aYoaNiesswC4uZLV,Malandro Demais Vira Bicho,6wE9mpaGN5lmUFRGtyQHI2,Malandro Demais Vira Bicho,2021-09-30,"3Igua105OJq78XPcPKPGku,4V6S8Exb51yXRs6oiJYIgE,1iVZ4G8loVE1bb5EWuOvMM","Febre90s,SonoTWS,pumapjl",220000,61,True,3Igua105OJq78XPcPKPGku,,,,,,0.0,0
3hF73xUEtOuPwSenNXYAox,Still Turnt (Forever B$hot),48UcYpGBpoNhEJriPfZFWJ,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),2025-08-01,"0iEtIxbK0KxaSlF7G42ZOp,2z1ZZSBRCNYjOZmUcA3rSQ,5AQVXVBupwWBMUC1A2JOkk,7m4YY1JUSagIGuM9BL7KR1","Metro Boomin,Shad Da God,Jose Guapo,DJ Spinz",253906,44,True,0iEtIxbK0KxaSlF7G42ZOp,,,,,,0.0,0
5d4aI3amSnykflQSkqxmE4,Caso Indefinido,5MApIKrwbZby8tMOND098R,Continua,2013-09-23,4HF14RSTZQcEafvfPCFEpI,Cristiano Araújo,215320,60,False,4HF14RSTZQcEafvfPCFEpI,,,,,,0.0,0
6U03Orwr5Dxt8jahLnQpYV,"Mas, Que Nada!",3xWp6y0HGsHZlXljNs7VRy,Samba Esquema Novo,1963-01-01,5JYtpnUKxAzXfHEYpOeeit,Jorge Ben Jor,179293,61,False,5JYtpnUKxAzXfHEYpOeeit,,,,,,0.0,0
2g6tReTlM2Akp41g0HaeXN,Die Hard,79ONNoS4M9tfIA1mYLBYVX,Mr. Morale & The Big Steppers,2022-05-13,"2YZyLoL8N0Wb9xBt1NhZWg,4qXC0i02bSFstECuXP2ZpL,1PpDfXOUG7gxUjR1quWnwp","Kendrick Lamar,Blxst,Amanda Reifer",239026,74,True,2YZyLoL8N0Wb9xBt1NhZWg,,,,,,0.0,0
2t4H61OtTYgmDe61KxkjKH,PLUTOSKI,4Zoxsc06EUHRf5GrJPJZ54,MIXTAPE PLUTO,2024-09-20,1RyvyyTE3xzB2ZywiAwp0i,Future,179022,61,True,1RyvyyTE3xzB2ZywiAwp0i,,,,,,0.0,0
0nyuNDYpy4HZVy5nS2984X,Qual o Som da Sua Arma?,5ZCEu4tVlxt0PR0J4NJ0Ex,ASSALTOS E BATIDAS,2025-06-06,"29QKtXMaVczUBDiI3aPBWS,1NkYIE4k7do1uPr2zbojgE,2PhFsxtwCQLS3e9SJwDN3j,51m33yHQQ9UnqVXTJHT9qu","FBC,Pepito,Coyote Beatz,Nathan Morais",167760,44,True,29QKtXMaVczUBDiI3aPBWS,,,,,,0.0,0
2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP,2015-05-26,"13ubrt8QOOCPljQ2FL1Kca,2y8Jo9CKhJvtfeKOsYzRdT,360IAlyVv4PCEVjgyMZrxK,3hv9jJF3adDNsBSIQDqcjp","A$AP Rocky,Rod Stewart,Miguel,Mark Ronson",260986,80,True,13ubrt8QOOCPljQ2FL1Kca,,,,,,0.0,0
78ctptldTw3rLjHjtvLuDn,"FERME LA BOUCHE (feat. Leall, Akilla & JXNV$)",0LXnhPYep0AOA1c7BFg7Vm,HIGHBOYZ,2024-12-20,"2Ip2jiEjsSe8pmRBzwTv5N,26aPjwxSSJsGy6yQ19YL55,1qJG1PpAGl1FnzYyCDU7x1,4h52MPCFvx56uhmH254Uqz,4AlpcXJqYvX4ovs4zEb2UB,2eYGPD8O1chWmQ92TvdtCW","Febem,Sain,CESRV,LEALL,Akilla,JXNV$",307200,35,True,2Ip2jiEjsSe8pmRBzwTv5N,,,,,,0.0,0
1It1TxBK3xIQAB4xJkPevn,Blue Lights,3AlSuZnX4ZCab8eoWnnfbm,Lost & Found,2018-06-08,1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,250454,67,False,1CoZyIx7UvdxT5c8UkMzHd,,,,,,1.0,0
2Iu5NDjHE7GEi1SGfMgyRT,Presente De Um Beija-Flor,7JQOsu9hNR9mNmohxQm3Gu,Natiruts,1998-01-05,4PhdYoQGH8s1xee81dqQOO,Natiruts,332693,64,False,4PhdYoQGH8s1xee81dqQOO,,,,,,0.0,0
6ccKu0LwJzOhLAxBwP2PTk,Os Anjos Cantam,0spzPH10djjrUshMB2z9jt,Os Anjos Cantam,2015-03-23,1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,197600,70,False,1elUiq4X7pxej6FRlrEzjM,,,,,,0.0,0
1zB4vmk8tFRmM9UULNzbLB,Thunder,33pt9HBdGlAbRGBHQgsZsU,Evolve,2017-06-23,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,187146,84,False,53XhwfbYqKCa1cC15pYq2q,,,,,,2.0,1
5aZ8wCDMoHHIexUsGYVPFL,EUROCHECK (feat. DJ Mako),0LXnhPYep0AOA1c7BFg7Vm,HIGHBOYZ,2024-12-20,"2Ip2jiEjsSe8pmRBzwTv5N,26aPjwxSSJsGy6yQ19YL55,2eYGPD8O1chWmQ92TvdtCW,2Ioqrv9nykVtIAf1Hk1H7g","Febem,Sain,JXNV$,DJ Mako",123243,34,True,2Ip2jiEjsSe8pmRBzwTv5N,,,,,,0.0,0
2LbEs52KlgqRVG8orLdOqi,Quero Ser Feliz Também - Ao Vivo,4BmHZA2FvCOQeUBHop8CjN,Natiruts Acústico no Rio de Janeiro,2012-09-17,4PhdYoQGH8s1xee81dqQOO,Natiruts,214546,10,False,4PhdYoQGH8s1xee81dqQOO,,,,,,0.0,0
7vKHQPVSdeuNLxRfD9lSN9,BOTACARA,0LXnhPYep0AOA1c7BFg7Vm,HIGHBOYZ,2024-12-20,"2Ip2jiEjsSe8pmRBzwTv5N,26aPjwxSSJsGy6yQ19YL55,2eYGPD8O1chWmQ92TvdtCW","Febem,Sain,JXNV$",186352,37,True,2Ip2jiEjsSe8pmRBzwTv5N,,,,,,0.0,0
7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,7ycBtnsMtyVbbwTfJwRjSP,To Pimp A Butterfly,2015-03-16,"2YZyLoL8N0Wb9xBt1NhZWg,2GVBp7QyHckoOg7rYkLvrA,4frXpPxQQZwbCu3eTGnZEw","Kendrick Lamar,George Clinton,Thundercat",287360,68,True,2YZyLoL8N0Wb9xBt1NhZWg,,,,,,0.0,0
7ejepEh5DJ79YI6owGRfkk,New N3on,2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,2020-12-25,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,116360,64,True,699OTQXzgjhIYAHMy9RyPD,,,,,,0.0,0
6pf7fmrtYcA4WpqTksuh68,SKI,4Zoxsc06EUHRf5GrJPJZ54,MIXTAPE PLUTO,2024-09-20,1RyvyyTE3xzB2ZywiAwp0i,Future,147592,59,True,1RyvyyTE3xzB2ZywiAwp0i,,,,,,0.0,0
2tudvzsrR56uom6smgOcSf,Like That,4iqbFIdGOTzXeDtt9owjQn,WE DON'T TRUST YOU,2024-03-22,"1RyvyyTE3xzB2ZywiAwp0i,0iEtIxbK0KxaSlF7G42ZOp,2YZyLoL8N0Wb9xBt1NhZWg","Future,Metro Boomin,Kendrick Lamar",267706,82,True,1RyvyyTE3xzB2ZywiAwp0i,,,,,,1.0,0
1j6kDJttn6wbVyMaM42Nxm,Lord Pretty Flacko Jodye 2 (LPFJ2),3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP,2015-05-26,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,126960,72,True,13ubrt8QOOCPljQ2FL1Kca,,,,,,0.0,0
0CjJqkWOpIUXdem5hUcxAk,Momma,7ycBtnsMtyVbbwTfJwRjSP,To Pimp A Butterfly,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,283120,58,True,2YZyLoL8N0Wb9xBt1NhZWg,,,,,,0.0,0
1oTNPAVidhGOkRslfSUtO7,Juventude Atitude,5ZCEu4tVlxt0PR0J4NJ0Ex,ASSALTOS E BATIDAS,2025-06-06,"29QKtXMaVczUBDiI3aPBWS,2PhFsxtwCQLS3e9SJwDN3j,1NkYIE4k7do1uPr2zbojgE","FBC,Coyote Beatz,Pepito",39240,38,True,29QKtXMaVczUBDiI3aPBWS,,,,,,0.0,0
6iByyLGlVa8OG1nRaviBua,O Bem,6sYbfepdBl7Q5f1hWXA2oo,Batuques e Romances,2011-05-26,096an3uS6ZaK2XySae6SqP,Arlindo Cruz,247786,60,False,096an3uS6ZaK2XySae6SqP,,,,,,0.0,0
2655xYZ347fG2N6OjkoMQ8,Logo Eu,0spzPH10djjrUshMB2z9jt,Os Anjos Cantam,2015-03-23,1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,155720,75,False,1elUiq4X7pxej6FRlrEzjM,,,,,,0.0,0
5lKHrBigpyKZM6uMvbOGh2,"Sorri, Sou Rei (feat. Claudia Leitte)",7dlYoL0Bm3AJXTlzaKwzMr,Raçaman,2009-07-01,"4PhdYoQGH8s1xee81dqQOO,2OjoIDVPQKT9B7loZbPEfp","Natiruts,Claudia Leitte",332653,64,False,4PhdYoQGH8s1xee81dqQOO,,,,,,0.0,0
1vBvTfBOyZq45VvANmtlI8,No Piscar dos Olhos,775AeWJLkyqAJuhIyO36Er,No Piscar dos Olhos,2021-04-30,"3Igua105OJq78XPcPKPGku,1iVZ4G8loVE1bb5EWuOvMM,4V6S8Exb51yXRs6oiJYIgE,5OfwMhn4XgysSIxSxBvTDE","Febre90s,pumapjl,SonoTWS,Lis Mc",159130,61,True,3Igua105OJq78XPcPKPGku,,,,,,0.0,0
0T6hIWjuDuD5FcQ8YH4o91,Think I Want Her,6J5IByAe1FQQGIxeaGOvav,The Burrprint (The Movie 3D),2015-12-11,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,263200,39,True,13y7CgLHjMVRMDqxdx0Xdo,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,"southern hip hop,rap,trap",5987057.0,76.0,0.0,0
3aZptNYC6Z1YoumeqZcDcQ,"gnx (feat. hitta j3, youngthreat, peysoh)",0hvT3yIEysuuvkK73vgdcW,GNX,2024-11-22,"2YZyLoL8N0Wb9xBt1NhZWg,50DchbKTiJU56SYmIRSJCI,1q2nUylEqrRJkiDkXa39Mw,27OdVby2oeFjM1C5XvC3hC","Kendrick Lamar,Hitta J3,YoungThreat,Peysoh",193539,64,True,2YZyLoL8N0Wb9xBt1NhZWg,,,,,,1.0,0
4q2QzhkICCUNDMTFevCu38,Butterflies (Right Now),48UcYpGBpoNhEJriPfZFWJ,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),2025-08-01,"0iEtIxbK0KxaSlF7G42ZOp,0bfX8pF8kuHNCs57Ms4jZb,0VRj0yCOv2FXJNP47XQnx5,7m4YY1JUSagIGuM9BL7KR1","Metro Boomin,Roscoe Dash,Quavo,DJ Spinz",208840,58,True,0iEtIxbK0KxaSlF7G42ZOp,,,,,,0.0,0
4yrKHjtPOJWPj4t2t70dGK,The Finer Things,1AdoIlPp0Bc4IiQhJSELZP,The Finer Things,2021-06-18,3H6CaRooDAoCeRCpYwOXj2,Ramirez,128783,44,True,3H6CaRooDAoCeRCpYwOXj2,,,,,,0.0,0
1b9cpyNQnzlmMDd7vs3NT9,Mar-a-Lago,5WrpCQmbTUZuzNxGCPUFSV,Alfredo 2,2025-07-25,"0Y4inQK6OespitzD6ijMwb,0eVyjRhzZKke2KFYTcDkeu","Freddie Gibbs,The Alchemist",179146,60,True,0Y4inQK6OespitzD6ijMwb,,,,,,0.0,0
3jCInPeigKpFaLZnlgQRli,Make It Make Sense,48UcYpGBpoNhEJriPfZFWJ,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),2025-08-01,"0iEtIxbK0KxaSlF7G42ZOp,0T5OJgMVjKIX3b3W3ekqOl,7m4YY1JUSagIGuM9BL7KR1","Metro Boomin,Rocko,DJ Spinz",158973,46,True,0iEtIxbK0KxaSlF7G42ZOp,,,,,,0.0,0
0rNgWFQJtfttOYIHfDOHCg,BACKD00R (feat. Kendrick Lamar & Jhené Aiko),0fSfkmx0tdPqFYkJuNX74a,MUSIC,2025-03-14,"699OTQXzgjhIYAHMy9RyPD,2YZyLoL8N0Wb9xBt1NhZWg,5ZS223C6JyBfXasXxrRqOk","Playboi Carti,Kendrick Lamar,Jhené Aiko",190053,66,True,699OTQXzgjhIYAHMy9RyPD,,,,,,0.0,0
3zmduBNsQ6BPDTZAkXzG5K,Can't Be Touched (feat. Mr. Magic & Trouble),5VcOoSq5hMQb3bNa0sBKOe,"Body Head Bangerz, Vol. 1",2004-10-26,"5K6YsAKuRtcczPgxAdzc3B,4e0Z9S1BolFuwPDnA8wOjF,3OMd4I5GX8Hz51SLS0C2Fm","Roy Jones Jr.,Mr Magic,Trouble",214400,73,True,5K6YsAKuRtcczPgxAdzc3B,,,,,,1.0,0
1AqemxWsT0iGg5Lvkm16Bt,Fukk Sleep (feat. FKA twigs),3MATDdrpHmQCmuOcozZjDa,TESTING,2018-05-25,"13ubrt8QOOCPljQ2FL1Kca,6nB0iY1cjSY1KyhYyuIIKH","A$AP Rocky,FKA twigs",192973,66,True,13ubrt8QOOCPljQ2FL1Kca,,,,,,0.0,0
6rZhHYL6eDo1lxBkgu09Dc,Clap,48UcYpGBpoNhEJriPfZFWJ,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),2025-08-01,"0iEtIxbK0KxaSlF7G42ZOp,6f4XkbvYlXMH0QgVRzW0sM,7m4YY1JUSagIGuM9BL7KR1","Metro Boomin,Waka Flocka Flame,DJ Spinz",162480,55,True,0iEtIxbK0KxaSlF7G42ZOp,,,,,,0.0,0
